iter	Passed	Remaining
902	105037	11283
903	105105	11161
904	105176	11040
905	105240	10918
906	105315	10798
907	105373	10676
908	105425	10554
909	105465	10430
910	105519	10308
911	105589	10188
912	105635	10066
913	105693	9944
914	105772	9825
915	105841	9705
916	105891	9584
917	105954	9464
918	106011	9343
919	106062	9222
920	106116	9102
921	106170	8981
922	106217	8861
923	106274	8741
924	106348	8622
925	106411	8503
926	106475	8384
927	106538	8265
928	106601	8147
929	106664	8028
930	106720	7909
931	106782	7791
932	106853	7673
933	106903	7554
934	106972	7436
935	107025	7317
936	107087	7200
937	107141	7081
938	107195	6963
939	107254	6846
940	107309	6728
941	107358	6610
942	107416	6492
943	107455	6374
944	107498	6256
945	107551	6139
946	107600	6021
947	107657	5905
948	107712	5788
949	107743	5670
950	107802	5554
951	107861	5438
952	107915	5322
953	107962	5205
954	108012	5089
955	108061	4973
956	108120	4858
957	108175	4742
958	108222	4626
959	108264	4511
960	108306	4395
961	108369	4280
962	108426	4165
963	108468	4050
964	108508	3935
965	108551	3820
966	108586	3705
967	108623	3590
968	108652	3475
969	108682	3361
970	108720	3247
971	108748	3132
972	108778	3018
973	108806	2904
974	108835	2790
975	108867	2677
976	108900	2563
977	108927	2450
978	108957	2337
979	108988	2224
980	109037	2111
981	109067	1999
982	109119	1887
983	109159	1774
984	109199	1662
985	109234	1551
986	109269	1439
987	109306	1327
988	109332	1216
989	109366	1104
990	109396	993
991	109428	882
992	109461	771
993	109493	660
994	109518	550
995	109582	440
996	109617	329
997	109637	219
998	109660	109
999	109693	0
0
999	110029	0
